snapshot_sha256	lexeme_id	entity_sha256	lexical_category_qid	reason
ff02d6805f4b4d97d51091caa45ce12371b0ce543c33909c8c96a6b17c22b937	L10227	e32b12da63f74f610f4c9772b9a54e592e78ff5875886a45c53d575d7e54be99	Q1084	noun compound with P1545 ordering and P5548 object-form evidence
ff02d6805f4b4d97d51091caa45ce12371b0ce543c33909c8c96a6b17c22b937	L1026	c82a0044ab2850c05006fb4ed883dc94e060e063281e13716273a98a1dcf6d88	Q24905	verb with auxiliary, separability, and broad form evidence
ff02d6805f4b4d97d51091caa45ce12371b0ce543c33909c8c96a6b17c22b937	L11535	2035e819e5e462e2bc91c195ba6209a3065d6ffffb023d1279d53a2cc150cb55	Q380057	adverb category and form evidence
ff02d6805f4b4d97d51091caa45ce12371b0ce543c33909c8c96a6b17c22b937	L295104	30fe1838a12d50f9dce22b74bfe7e218a768deea698abf7e21800b889ee9410a	Q1084	noun with de-1901 representations and P5911 paradigm class
ff02d6805f4b4d97d51091caa45ce12371b0ce543c33909c8c96a6b17c22b937	L3146	c1052fdbf46fb3d1da9d0fdb58c8e8ac3a1e3a9d45cd592b7168b4b6203e7a62	Q1084	plural-only noun with de-ch representations and P5238 evidence
ff02d6805f4b4d97d51091caa45ce12371b0ce543c33909c8c96a6b17c22b937	L342884	c2366cdd8376f1e11562dc57d43e492b76ba73336d5b9b05837edfd6009c496b	Q34698	adjective with indeclinable evidence
ff02d6805f4b4d97d51091caa45ce12371b0ce543c33909c8c96a6b17c22b937	L40399	5e130024718f9a6399591ab38b27f4c88236579eb31946d37fb076c6a979195b	Q1084	noun with explicit Q107614077 combining form
ff02d6805f4b4d97d51091caa45ce12371b0ce543c33909c8c96a6b17c22b937	L487796	84f8164df5dd163d9916c88018ada6615be159bd698b19f5a2b41e07041e8852	Q34698	adjective with absolute and word-stem evidence
