internal_id	source_key	lexeme_ids	entity_sha256	lemma_json	stratum	sample_score_sha256	pinned	genders	gender_claims_json	number_restriction	restriction_claims_json	paradigm_claims_json	source_completeness	slot_values_json	slot_form_ids_json	combining_forms_json	object_form_evidence_json	compound_statement_ids_json	sense_statement_ids_json	structural_evidence	orthography	diagnostics_json	review_status
wdn_000032_N	L295104	["L295104"]	["30fe1838a12d50f9dce22b74bfe7e218a768deea698abf7e21800b889ee9410a"]	"Nuss"	regular_feminine	f39ee2d49bf9a338a3f2da427b8d90e813968eae983c69b56448cb0779359982	yes	["feminine"]	[{"rank":"normal","statement":"L295104$115691F2-8C04-4FB5-A2A7-69F56E10253C","value":"Q1775415"}]	ordinary	[]	[{"rank":"normal","statement":"L295104$3C3AEB56-4EA0-43BE-8E24-C250F60D5720","value":"Q105627457"}]	complete	{"s_pl_acc":["Nüsse"],"s_pl_dat":["Nüssen"],"s_pl_gen":["Nüsse"],"s_pl_nom":["Nüsse"],"s_sg_acc":["Nuss"],"s_sg_dat":["Nuss"],"s_sg_gen":["Nuss"],"s_sg_nom":["Nuss"]}	{"s_pl_acc":["L295104-F8"],"s_pl_dat":["L295104-F7"],"s_pl_gen":["L295104-F6"],"s_pl_nom":["L295104-F5"],"s_sg_acc":["L295104-F4"],"s_sg_dat":["L295104-F3"],"s_sg_gen":["L295104-F2"],"s_sg_nom":["L295104-F1"]}	[]	[]	[]	[]	component_target	[]	[]	automatic
wdn_000033_N	L296843	["L296843"]	["505acaf2c520b32b2f75aaefff35f07528ae2131572de56a10ab3dce1c26897d"]	"Kinderbetreuung"	explicit_combining	016b52f309bb327f3e0b819d5af6fa5a59f5ad100e3625b159f92714cc8d4da0	no	["feminine"]	[{"rank":"normal","statement":"L296843$44531CDD-5739-4860-B47B-C683EA80576B","value":"Q1775415"}]	ordinary	[]	[{"rank":"normal","statement":"L296843$811533f8-46d5-eb89-0329-4ebc36e645ef","value":"Q105571268"}]	complete	{"s_pl_acc":["Kinderbetreuungen"],"s_pl_dat":["Kinderbetreuungen"],"s_pl_gen":["Kinderbetreuungen"],"s_pl_nom":["Kinderbetreuungen"],"s_sg_acc":["Kinderbetreuung"],"s_sg_dat":["Kinderbetreuung"],"s_sg_gen":["Kinderbetreuung"],"s_sg_nom":["Kinderbetreuung"]}	{"s_pl_acc":["L296843-F8"],"s_pl_dat":["L296843-F7"],"s_pl_gen":["L296843-F6"],"s_pl_nom":["L296843-F5"],"s_sg_acc":["L296843-F4"],"s_sg_dat":["L296843-F3"],"s_sg_gen":["L296843-F2"],"s_sg_nom":["L296843-F1"]}	[{"features":["Q107614077"],"form_id":"L296843-F9","value":"Kinderbetreuungs"}]	["L778793$28f61901-4a83-3b3f-b7be-20bd493685b3>L296843-F9","L786749$9b9b069f-4d11-fc20-34d7-d6c291fbc72a>L296843-F9"]	["L296843$3e9de5c0-406f-2041-df4c-a5e8682bf233","L296843$bdf2b044-4620-0481-ab29-f29b88c1982a"]	[]	source_and_target	[]	[]	automatic
wdn_000034_N	L298781	["L298781"]	["3b5e4dc5cb7503581db84d4a6f64410f967719b44e431d0d6380eb4efe2bbb89"]	"Armut"	singular_only	0165971c17ee9156bf6553d6534871ff3d4b63e212f6c00873e964a9947d226d	no	["feminine"]	[{"rank":"normal","statement":"L298781$177C93DF-137C-47EC-99AA-049AFC50E636","value":"Q1775415"}]	singular_only	[{"rank":"normal","statement":"L298781$A70F45BD-2BBC-4D03-B683-0EC68D2E70E6","value":"Q604984"}]	[]	complete	{"s_sg_acc":["Armut"],"s_sg_dat":["Armut"],"s_sg_gen":["Armut"],"s_sg_nom":["Armut"]}	{"s_sg_acc":["L298781-F4"],"s_sg_dat":["L298781-F3"],"s_sg_gen":["L298781-F2"],"s_sg_nom":["L298781-F1"]}	[{"features":["Q107614077"],"form_id":"L298781-F5","value":"Armuts"}]	["L298774$621bb0f0-42c3-7fdb-f407-4cbdefba22d1>L298781-F5","L298780$d08dfda2-4a1b-ad0d-c69c-2de0e0372abb>L298781-F5"]	[]	[]	component_target	[]	[]	automatic
wdn_000035_N	L300507	["L300507"]	["aa4eb4d0385d3db3cbbedf711a57caa3191f2aef9131bff3eeea1b23ec80b6b3"]	"Beobachtungsdaten"	plural_only	02be8b91f159190d238fadfc121e7a11f34c16decc22ac90f1fbdf2ec8c620d6	no	[]	[]	plural_only	[{"rank":"normal","statement":"L300507$2DDAD19D-5282-4F55-8CF2-D9E967C192C3","value":"Q138246"}]	[]	complete	{"s_pl_acc":["Beobachtungsdaten"],"s_pl_dat":["Beobachtungsdaten"],"s_pl_gen":["Beobachtungsdaten"],"s_pl_nom":["Beobachtungsdaten"]}	{"s_pl_acc":["L300507-F4"],"s_pl_dat":["L300507-F3"],"s_pl_gen":["L300507-F2"],"s_pl_nom":["L300507-F1"]}	[]	[]	[]	[]	none_recorded	[]	["missing_gender"]	automatic
wdn_000036_N	L305182	["L305182"]	["bee8cda3c6dcbc56af82fb57047cdeedc814780c0c30fcb4bf851fff87a7c871"]	"Pause"	explicit_combining	09c6b0ba1aba11103a4f74cf6850b4cf2f25f9438fbb419c693e0e7c779f9355	no	["feminine"]	[{"rank":"normal","statement":"L305182$DF75C3C5-5298-4FB4-82E4-AA1B7DB4CBC3","value":"Q1775415"}]	ordinary	[]	[]	complete	{"s_pl_acc":["Pausen"],"s_pl_dat":["Pausen"],"s_pl_gen":["Pausen"],"s_pl_nom":["Pausen"],"s_sg_acc":["Pause"],"s_sg_dat":["Pause"],"s_sg_gen":["Pause"],"s_sg_nom":["Pause"]}	{"s_pl_acc":["L305182-F8"],"s_pl_dat":["L305182-F7"],"s_pl_gen":["L305182-F6"],"s_pl_nom":["L305182-F5"],"s_sg_acc":["L305182-F4"],"s_sg_dat":["L305182-F3"],"s_sg_gen":["L305182-F2"],"s_sg_nom":["L305182-F1"]}	[{"features":["Q107614077"],"form_id":"L305182-F9","value":"Pausen"}]	[]	[]	[]	none_recorded	[]	[]	automatic
wdn_000037_N	L347448	["L347448"]	["e8ede7385e6c65a24fc9a425f11f86f2b8d4d0b7318f1abf1d4c042ba4e79e1f"]	"Deutsche"	rejected_feature	d75e1a7406cbfd1b1862c0e4fe38e3f98f59f47b5f3cda2f80617de3f677074c	no	["neuter"]	[{"rank":"normal","statement":"L347448$4A9ADBDB-BA2E-4717-879B-6B7B433310FC","value":"Q1775461"}]	singular_only	[{"rank":"normal","statement":"L347448$0A089E7F-4D6F-4EAF-BC72-1BDAB9C3D8B5","value":"Q604984"}]	[{"rank":"normal","statement":"L347448$17193a90-412d-605f-36d7-f6dd6ce2c941","value":"Q103383087"}]	complete	{"s_sg_acc":["Deutsche"],"s_sg_dat":["Deutschen"],"s_sg_gen":["Deutschen"],"s_sg_nom":["Deutsche"]}	{"s_sg_acc":["L347448-F4"],"s_sg_dat":["L347448-F3"],"s_sg_gen":["L347448-F2"],"s_sg_nom":["L347448-F1"]}	[]	[]	[]	[]	none_recorded	[]	["rejected_noun_form_feature"]	automatic
wdn_000038_N	L400201	["L400201"]	["ca6adc82d6b720bdc6260088d5b4b88536dea3219258c1eb82dbe5822e38422a"]	"Erdnussbutter"	singular_only	024db4c9e7c7ffec6f458b0fb5675ed99fd53445d8f231ced4ddb13a9a60a5d9	no	["feminine"]	[{"rank":"normal","statement":"L400201$C7052F17-6E89-41E8-8DA0-211BB91F14FE","value":"Q1775415"}]	singular_only	[{"rank":"normal","statement":"L400201$fb45ba13-48fd-6b88-edf2-a58394eb471e","value":"Q604984"}]	[]	complete	{"s_sg_acc":["Erdnussbutter"],"s_sg_dat":["Erdnussbutter"],"s_sg_gen":["Erdnussbutter"],"s_sg_nom":["Erdnussbutter"]}	{"s_sg_acc":["L400201-F4"],"s_sg_dat":["L400201-F3"],"s_sg_gen":["L400201-F2"],"s_sg_nom":["L400201-F1"]}	[]	[]	["L400201$aaa35f27-4e2a-50b8-6248-05253f39fda9","L400201$5cdacc2c-463d-5b4f-6d19-9e51ef7ee47e"]	[]	explicit_compound_analysis	[]	[]	automatic
wdn_000039_N	L402511	["L402511"]	["ea5438a64c522bc0ee6ce99563928dd545a99046a5141bf766b149ea17a14840"]	"A-Saite"	hyphenated	00e9d8abe76def2e33441b04a5fb4b8e9fc4b8228805033b37db3f7cc42376f8	no	["feminine"]	[{"rank":"normal","statement":"L402511$55E7590A-7D95-4978-824E-D20D23FD6756","value":"Q1775415"}]	ordinary	[]	[]	complete	{"s_pl_acc":["A-Saiten"],"s_pl_dat":["A-Saiten"],"s_pl_gen":["A-Saiten"],"s_pl_nom":["A-Saiten"],"s_sg_acc":["A-Saite"],"s_sg_dat":["A-Saite"],"s_sg_gen":["A-Saite"],"s_sg_nom":["A-Saite"]}	{"s_pl_acc":["L402511-F8"],"s_pl_dat":["L402511-F7"],"s_pl_gen":["L402511-F6"],"s_pl_nom":["L402511-F5"],"s_sg_acc":["L402511-F4"],"s_sg_dat":["L402511-F3"],"s_sg_gen":["L402511-F2"],"s_sg_nom":["L402511-F1"]}	[]	[]	["L402511$de5be28c-40de-c3e1-f7c9-b97cdbc7866e"]	[]	explicit_compound_analysis	["hyphen"]	[]	automatic
wdn_000040_N	L408360	["L408360"]	["a880277002d7a35498bf3fe38b18fed80991d7f47efd7c1ec28743a480c5548f"]	"Königsallee"	singular_only	047fac79a365986ff76b4e9b794275361ac7afcc0166a1eb42b6c22a498d51cd	no	["feminine"]	[{"rank":"normal","statement":"L408360$6B5F944E-CDAF-4114-9176-7D4175DDF4A9","value":"Q1775415"}]	singular_only	[{"rank":"normal","statement":"L408360$2230cbf9-485a-0b30-8d05-a563c46521a1","value":"Q604984"}]	[]	complete	{"s_sg_acc":["Königsallee"],"s_sg_dat":["Königsallee"],"s_sg_gen":["Königsallee"],"s_sg_nom":["Königsallee"]}	{"s_sg_acc":["L408360-F4"],"s_sg_dat":["L408360-F3"],"s_sg_gen":["L408360-F2"],"s_sg_nom":["L408360-F1"]}	[]	[]	["L408360$1bfa4795-4a2a-9c69-abc3-fa7055b83e77","L408360$440e6bfd-4d3d-b6c2-2462-4cf0d3fc9e71"]	[]	explicit_compound_analysis	[]	[]	automatic
wdn_000041_N	L478083	["L478083"]	["341cde24457277b75156b3d0f2347fafbaec24b942b63032c7e8e00f05710136"]	"NOx-Konzentration"	hyphenated	00192d7389f62855e2f4a4193c70bed4c4c84a94b7186cc510573deb5b7b1f37	no	["feminine"]	[{"rank":"normal","statement":"L478083$4F4A59A7-9743-496A-B429-E5698524D2C9","value":"Q1775415"}]	ordinary	[]	[]	complete	{"s_pl_acc":["NOx-Konzentrationen"],"s_pl_dat":["NOx-Konzentrationen"],"s_pl_gen":["NOx-Konzentrationen"],"s_pl_nom":["NOx-Konzentrationen"],"s_sg_acc":["NOx-Konzentration"],"s_sg_dat":["NOx-Konzentration"],"s_sg_gen":["NOx-Konzentration"],"s_sg_nom":["NOx-Konzentration"]}	{"s_pl_acc":["L478083-F8"],"s_pl_dat":["L478083-F7"],"s_pl_gen":["L478083-F6"],"s_pl_nom":["L478083-F5"],"s_sg_acc":["L478083-F4"],"s_sg_dat":["L478083-F3"],"s_sg_gen":["L478083-F2"],"s_sg_nom":["L478083-F1"]}	[]	[]	[]	[]	none_recorded	["hyphen"]	[]	automatic
